Edep_detectavel_MeV,E_measured_MeV,Canal_MCA
0.209083,0.2107722378636839,269.7884644655154
0.0812605,0.08801899724521796,112.66431647387898
0.224172,0.23112520823810756,295.8402665447777
0.361673,0.35782934124762256,458.0215567969569
0.662,0.6628659397000525,848.4684028160672
0.217025,0.2267802831333796,290.2787624107259
0.283869,0.2804473338668176,358.9725873495265
0.266432,0.2829444189284842,362.1688562284598
0.19671,0.18442369736056277,236.06233262152034
0.662,0.6876486373889165,880.1902558578131
0.662,0.6613672423147613,846.5500701628945
0.308313,0.2996148277922999,383.5069795741439
0.470296,0.4853535308978957,621.2525195493065
0.452768,0.4409394601876934,564.4025090402475
0.662,0.6653632597285305,851.664972452519
0.38878,0.35942413788504063,460.062896492852
0.349174,0.3328961231059366,426.10703757559884
0.466267,0.45701803584914025,584.9830858868995
0.538705,0.5472835679584969,700.522966986876
0.240491,0.2537814998457438,324.840319802552
0.0856533,0.0861633014921338,110.28902590993127
0.398842,0.3717111987870009,475.79033444736115
0.132083,0.1349216104250366,172.69966134404683
0.459983,0.46346407957023517,593.234021849901
0.2601,0.264005945453215,337.92761018011515
0.369562,0.37690278497807367,482.4355647719343
0.302436,0.2832072300973656,362.50525452462796
0.286168,0.2843569301079426,363.9768705381665
0.177672,0.20291508453172546,259.7313082006086
0.293061,0.3065587536186074,392.3952046318175
0.191754,0.20051993409592409,256.66551564278285
0.662,0.6897140952802986,882.8340419587822
0.662,0.6503438802561115,832.4401667278227
0.157986,0.17159876446215613,219.64641851155986
0.662,0.6620570381065023,847.4330087763229
0.140538,0.12720412282356125,162.82127721415839
0.164759,0.18078984095397796,231.4109964210918
0.517388,0.5198839759524534,665.4514892191403
0.274212,0.26966493617411136,345.1711183028625
0.466795,0.4552195294048442,582.6809976382006
0.662,0.7043591758553225,901.5797450948128
0.662,0.6465225841865391,827.54890775877
0.662,0.6580160312327219,842.2605199778841
0.0366814,0.03762955725376647,48.165833284821076
0.094204,0.0913670738199475,116.94985448953281
0.422945,0.3970713843042276,508.2513719094113
0.0446026,0.05068274303584421,64.8739110858806
0.0157921,0.014865170327450347,19.027418019136444
0.443379,0.43512853460955064,556.9645243002249
0.407528,0.4601906531843601,589.0440360759809
0.342684,0.35236132039518525,451.0224901058371
0.314165,0.3128177439936765,400.40671231190595
0.243731,0.23160152951105262,296.4499577741474
0.225052,0.22782957436222306,291.6218551836455
0.269371,0.2803757819439685,358.8810008882797
0.0241819,0.0245555583704314,31.43111471415219
0.256012,0.2649410845753654,339.12458825646775
0.662,0.6752309614599075,864.2956306686815
0.662,0.6580464328857135,842.2994340937133
0.662,0.6914120112429092,885.0073743909238
0.264228,0.27228517545026554,348.5250245763399
0.244215,0.2366128568533656,302.86445677230796
0.200714,0.1911328921215692,244.65010191560856
0.415338,0.416899603031142,533.6314918798618
0.662,0.6595335924619103,844.2029983512452
0.38162,0.3953068359343691,505.9927499959924
0.312942,0.3156691131556177,404.05646483919065
0.138841,0.14973654511590045,191.6627777483526
0.363036,0.39037408524862444,499.67882911823926
0.662,0.6634528056271816,849.2195912027923
0.224829,0.23165607507463504,296.51977609553285
0.270477,0.28026855255096306,358.74374726523274
