energia_prestep_MeV,count_in_bin,sum_edep_bin_MeV,edep_media_por_entrada_MeV
1.067499999999999838e-01,1.043000000000000000e+03,9.996268463134765625e+01,9.584150012593255219e-02
1.102499999999999869e-01,1.053000000000000000e+03,1.005952606201172017e+02,9.553206136763267575e-02
1.137499999999999900e-01,1.046000000000000000e+03,1.006223144531250000e+02,9.619724135097992845e-02
1.172499999999999931e-01,1.059000000000000000e+03,1.029662322998047017e+02,9.722968111407431779e-02
1.207499999999999962e-01,1.052000000000000000e+03,1.052884292602539062e+02,1.000840582321805144e-01
1.242499999999999993e-01,1.041000000000000000e+03,1.077615966796875000e+02,1.035173839382204641e-01
1.277499999999999747e-01,1.062000000000000000e+03,1.110227279663085938e+02,1.045411751095184499e-01
1.312499999999999778e-01,1.074000000000000000e+03,1.192212677001952983e+02,1.110067669461781148e-01
1.347499999999999809e-01,1.095000000000000000e+03,1.253167495727539062e+02,1.144445201577661275e-01
1.382499999999999840e-01,1.262000000000000000e+03,1.492221527099609091e+02,1.182425932725522238e-01
1.417499999999999871e-01,1.128000000000000000e+03,1.337102661132811932e+02,1.185374699585826225e-01
1.452499999999999902e-01,1.191000000000000000e+03,1.472820434570311932e+02,1.236625050017054472e-01
1.487499999999999933e-01,1.116000000000000000e+03,1.391074371337890909e+02,1.246482411593092254e-01
1.522499999999999964e-01,1.113000000000000000e+03,1.399459075927734091e+02,1.257375629764361236e-01
1.557499999999999718e-01,1.125000000000000000e+03,1.437418518066405966e+02,1.277705349392360967e-01
1.592499999999999749e-01,1.069000000000000000e+03,1.355783386230469034e+02,1.268272578325976563e-01
1.627499999999999780e-01,1.064000000000000000e+03,1.425500640869140909e+02,1.339756241418365579e-01
1.662499999999999811e-01,1.135000000000000000e+03,1.520684661865234091e+02,1.339810274771131293e-01
1.697499999999999842e-01,1.121000000000000000e+03,1.517661437988280966e+02,1.353846064217913425e-01
1.732499999999999873e-01,1.023000000000000000e+03,1.373769989013671875e+02,1.342883664724996984e-01
1.767499999999999905e-01,1.083000000000000000e+03,1.509705810546875000e+02,1.394003518510503192e-01
1.802499999999999936e-01,1.098000000000000000e+03,1.516337432861328125e+02,1.380999483480262469e-01
1.837499999999999689e-01,1.201000000000000000e+03,1.544663543701171875e+02,1.286147829892732575e-01
1.872499999999999720e-01,1.411000000000000000e+03,1.545966796875000000e+02,1.095653293320340144e-01
1.907499999999999751e-01,1.330000000000000000e+03,1.522751312255859091e+02,1.144925798688615909e-01
1.942499999999999782e-01,1.315000000000000000e+03,1.594795532226561932e+02,1.212772267852898767e-01
1.977499999999999813e-01,1.326000000000000000e+03,1.679765014648438068e+02,1.266791112102894357e-01
2.012499999999999845e-01,1.266000000000000000e+03,1.592859649658203125e+02,1.258182977613114539e-01
2.047499999999999876e-01,1.191000000000000000e+03,1.510736389160155966e+02,1.268460444299039369e-01
2.082499999999999907e-01,1.169000000000000000e+03,1.504394226074219034e+02,1.286906951303865843e-01
2.117499999999999660e-01,1.165000000000000000e+03,1.514690856933594034e+02,1.300163825694072017e-01
2.152499999999999691e-01,1.182000000000000000e+03,1.559263763427734091e+02,1.319174080734123733e-01
2.187499999999999722e-01,1.147000000000000000e+03,1.515537414550780966e+02,1.321305505275310321e-01
2.222499999999999754e-01,1.127000000000000000e+03,1.544866943359375000e+02,1.370778121880545652e-01
2.257499999999999785e-01,1.095000000000000000e+03,1.433850860595703125e+02,1.309452840726669509e-01
2.292499999999999816e-01,1.072000000000000000e+03,1.481769561767578125e+02,1.382247725529457127e-01
2.327499999999999847e-01,1.033000000000000000e+03,1.437554473876953125e+02,1.391630662029964272e-01
2.362499999999999878e-01,1.121000000000000000e+03,1.589057159423828125e+02,1.417535378611800290e-01
2.397499999999999631e-01,1.014000000000000000e+03,1.471939392089844034e+02,1.451616757485053311e-01
2.432499999999999662e-01,1.038000000000000000e+03,1.469062042236328125e+02,1.415281350902050095e-01
2.467499999999999694e-01,1.051000000000000000e+03,1.508535614013671875e+02,1.435333600393598474e-01
2.502499999999999725e-01,9.560000000000000000e+02,1.334591674804688068e+02,1.396016396239213586e-01
2.537499999999999756e-01,8.760000000000000000e+02,1.253915100097655966e+02,1.431409931618328746e-01
2.572499999999999787e-01,9.550000000000000000e+02,1.350696258544921875e+02,1.414341631984211423e-01
2.607499999999999263e-01,9.230000000000000000e+02,1.296802368164061932e+02,1.404986314370597900e-01
2.642499999999999849e-01,9.310000000000000000e+02,1.380196228027344034e+02,1.482487892617984915e-01
2.677499999999999325e-01,9.230000000000000000e+02,1.320387725830078125e+02,1.430539247919911383e-01
